id;genres;id_imdb;popularity;title;vote_average;vote_count;director
1;['action', 'adventure', 'fantasy'];19995;150437577;Avatar;72;11800;jamescameron
2;['adventure', 'fantasy', 'action'];285;139082615;Pirates of the Caribbean: At World's End;69;4500;goreverbinski
3;['action', 'adventure', 'crime'];206647;1,07377E+16;Spectre;63;4466;sammendes
4;['action', 'crime', 'drama'];49026;11231295;The Dark Knight Rises;76;9106;christophernolan
5;['action', 'adventure', 'sciencefiction'];49529;43926995;John Carter;61;2124;andrewstanton
6;['fantasy', 'action', 'adventure'];559;1,157E+16;Spider-Man 3;59;3576;samraimi
7;['animation', 'family'];38757;48681969;Tangled;74;3330;byronhoward
8;['action', 'adventure', 'sciencefiction'];99861;1,34279E+16;Avengers: Age of Ultron;73;6767;josswhedon
9;['adventure', 'fantasy', 'family'];767;98885637;Harry Potter and the Half-Blood Prince;74;5293;davidyates
10;['action', 'adventure', 'fantasy'];209112;155790452;Batman v Superman: Dawn of Justice;57;7004;zacksnyder
11;['adventure', 'fantasy', 'action'];1452;57925623;Superman Returns;54;1400;bryansinger
12;['adventure', 'action', 'thriller'];10764;1,07929E+16;Quantum of Solace;61;2965;marcforster
13;['adventure', 'fantasy', 'action'];58;1,45847E+16;Pirates of the Caribbean: Dead Man's Chest;70;5246;goreverbinski
14;['action', 'adventure', 'western'];57201;49046956;The Lone Ranger;59;2311;goreverbinski
15;['action', 'adventure', 'fantasy'];49521;99398009;Man of Steel;65;6359;zacksnyder
16;['adventure', 'family', 'fantasy'];2454;53978602;The Chronicles of Narnia: Prince Caspian;63;1630;andrewadamson
17;['sciencefiction', 'action', 'adventure'];24428;144448633;The Avengers;74;11776;josswhedon
18;['adventure', 'action', 'fantasy'];1865;135413856;Pirates of the Caribbean: On Stranger Tides;64;4948;robmarshall
19;['action', 'comedy', 'sciencefiction'];41154;52035179;Men in Black 3;62;4160;barrysonnenfeld
20;['action', 'adventure', 'fantasy'];122917;1,20966E+16;The Hobbit: The Battle of the Five Armies;71;4760;peterjackson
21;['action', 'adventure', 'fantasy'];1930;89866276;The Amazing Spider-Man;65;6586;marcwebb
22;['action', 'adventure'];20662;37668301;Robin Hood;62;1398;ridleyscott
23;['adventure', 'fantasy'];57158;94370564;The Hobbit: The Desolation of Smaug;76;4524;peterjackson
24;['adventure', 'fantasy'];2268;42990906;The Golden Compass;58;1303;chrisweitz
25;['adventure', 'drama', 'action'];254;6,1226E+16;King Kong;66;2337;peterjackson
26;['drama', 'romance', 'thriller'];597;100025899;Titanic;75;7562;jamescameron
27;['adventure', 'action', 'sciencefiction'];271110;1,98372E+16;Captain America: Civil War;71;7241;anthonyrusso
28;['thriller', 'action', 'adventure'];44833;64928382;Battleship;55;2114;peterberg
29;['action', 'adventure', 'sciencefiction'];135397;418708552;Jurassic World;65;8662;colintrevorrow
30;['action', 'adventure', 'thriller'];37724;93004993;Skyfall;69;7604;sammendes
31;['action', 'adventure', 'fantasy'];558;35149586;Spider-Man 2;67;4321;samraimi
32;['action', 'adventure', 'sciencefiction'];68721;7768208;Iron Man 3;68;8806;shaneblack
33;['family', 'fantasy', 'adventure'];12155;78530105;Alice in Wonderland;64;4645;timburton
34;['adventure', 'action', 'sciencefiction'];36668;3857526;X-Men: The Last Stand;63;3525;brettratner
35;['animation', 'family'];62211;89186492;Monsters University;70;3528;danscanlon
36;['sciencefiction', 'action', 'adventure'];8373;21939663;Transformers: Revenge of the Fallen;60;3138;michaelbay
37;['sciencefiction', 'action', 'adventure'];91314;116840296;Transformers: Age of Extinction;58;3095;michaelbay
38;['fantasy', 'adventure', 'family'];68728;46985445;Oz: The Great and Powerful;57;3530;samraimi
39;['action', 'adventure', 'fantasy'];102382;89270217;The Amazing Spider-Man 2;65;4179;marcwebb
40;['adventure', 'action', 'sciencefiction'];20526;7379505;TRON: Legacy;63;2841;josephkosinski
41;['animation', 'family', 'adventure'];49013;4998659;Cars 2;58;2033;johnlasseter
42;['adventure', 'action', 'thriller'];44912;51872839;Green Lantern;51;2487;martincampbell
43;['animation', 'family', 'comedy'];10193;5,99954E+15;Toy Story 3;76;4597;leeunkrich
44;['action', 'sciencefiction', 'thriller'];534;71862892;Terminator Salvation;59;2463;mcg
45;['action'];168259;1,02322E+16;Furious 7;73;4176;jameswan
46;['action', 'drama', 'horror'];72190;81834855;World War Z;67;5560;marcforster
47;['action', 'adventure', 'fantasy'];127585;1,18079E+16;X-Men: Days of Future Past;75;6032;bryansinger
48;['action', 'adventure', 'sciencefiction'];54138;7,8291E+15;Star Trek Into Darkness;74;4418;j.j.abrams
49;['action', 'family', 'fantasy'];81005;43349855;Jack the Giant Slayer;55;2598;bryansinger
50;['drama', 'romance'];64682;6,11961E+16;The Great Gatsby;73;3769;bazluhrmann
